,ID,Sales,Price
"1-1",1,438471,1.3700000000000001
"2-1",1,25408,3.8900000000000001
"3-1",1,8856,1.72
"4-1",1,16881,1.6599999999999999
"5-1",1,73177,1.5
"6-1",1,18350,2.4900000000000002
"7-1",1,39767,1.8999999999999999
"8-1",1,356093,1.6299999999999999
"9-1",1,4815,4.25
"10-1",1,21597,1.6899999999999999
"11-1",1,1110,4
"12-1",1,138021,2.4300000000000002
"13-1",1,18468,2.0800000000000001
"14-1",1,8498,5.0999999999999996
"15-1",1,246887,1.4299999999999999
"16-1",1,7846,3.5499999999999998
"17-1",1,40838,1.6399999999999999
"18-1",1,69063,3.0299999999999998
"19-1",1,12571,2.6099999999999999
"20-1",1,2069,7.4400000000000004
"21-1",1,7616,3.1899999999999999
"22-1",1,7176,6.2199999999999998
"23-1",1,21242,4.9199999999999999
"24-1",1,2987,3.0099999999999998
"25-1",1,10468,3.0099999999999998
"26-1",2,28712,1.3700000000000001
"27-1",2,5345,3.8900000000000001
"28-1",2,24242,1.72
"29-1",2,2412,1.6599999999999999
"30-1",2,18629,1.5
"31-1",2,43994,2.4900000000000002
"32-1",2,37193,1.8999999999999999
"33-1",2,47164,1.6299999999999999
"34-1",2,2653,4.25
"35-1",2,5647,1.6899999999999999
"36-1",2,4155,4
"37-1",2,1473,2.4300000000000002
"38-1",2,4594,2.0800000000000001
"39-1",2,1305,5.0999999999999996
"40-1",2,20437,1.4299999999999999
"41-1",2,1237,3.5499999999999998
"42-1",2,41383,1.6399999999999999
"43-1",2,1703,3.0299999999999998
"44-1",2,885,2.6099999999999999
"45-1",2,496,7.4400000000000004
"46-1",2,2155,3.1899999999999999
"47-1",2,1451,6.2199999999999998
"48-1",2,1957,4.9199999999999999
"49-1",2,20773,3.0099999999999998
"50-1",2,4389,3.0099999999999998
"51-1",3,85633,1.3700000000000001
"52-1",3,5250,3.8900000000000001
"53-1",3,107359,1.72
"54-1",3,12341,1.6599999999999999
"55-1",3,12424,1.5
"56-1",3,73295,2.4900000000000002
"57-1",3,8928,1.8999999999999999
"58-1",3,3993,1.6299999999999999
"59-1",3,4126,4.25
"60-1",3,3206,1.6899999999999999
"61-1",3,22108,4
"62-1",3,92066,2.4300000000000002
"63-1",3,85530,2.0800000000000001
"64-1",3,4029,5.0999999999999996
"65-1",3,25141,1.4299999999999999
"66-1",3,11115,3.5499999999999998
"67-1",3,124885,1.6399999999999999
"68-1",3,27166,3.0299999999999998
"69-1",3,23659,2.6099999999999999
"70-1",3,5887,7.4400000000000004
"71-1",3,22050,3.1899999999999999
"72-1",3,8718,6.2199999999999998
"73-1",3,6535,4.9199999999999999
"74-1",3,2710,3.0099999999999998
"75-1",3,10335,3.0099999999999998
"76-1",4,19079,1.3700000000000001
"77-1",4,3865,3.8900000000000001
"78-1",4,17513,1.72
"79-1",4,1791,1.6599999999999999
"80-1",4,5089,1.5
"81-1",4,19282,2.4900000000000002
"82-1",4,2105,1.8999999999999999
"83-1",4,4305,1.6299999999999999
"84-1",4,3095,4.25
"85-1",4,1823,1.6899999999999999
"86-1",4,1438,4
"87-1",4,5431,2.4300000000000002
"88-1",4,75661,2.0800000000000001
"89-1",4,8297,5.0999999999999996
"90-1",4,3896,1.4299999999999999
"91-1",4,1658,3.5499999999999998
"92-1",4,29116,1.6399999999999999
"93-1",4,7875,3.0299999999999998
"94-1",4,1605,2.6099999999999999
"95-1",4,3143,7.4400000000000004
"96-1",4,7101,3.1899999999999999
"97-1",4,525,6.2199999999999998
"98-1",4,820,4.9199999999999999
"99-1",4,2374,3.0099999999999998
"100-1",4,19613,3.0099999999999998
"101-1",5,39419,1.3700000000000001
"102-1",5,15417,3.8900000000000001
"103-1",5,18696,1.72
"104-1",5,126614,1.6599999999999999
"105-1",5,8793,1.5
"106-1",5,1298,2.4900000000000002
"107-1",5,59653,1.8999999999999999
"108-1",5,107308,1.6299999999999999
"109-1",5,1332,4.25
"110-1",5,46904,1.6899999999999999
"111-1",5,9272,4
"112-1",5,26571,2.4300000000000002
"113-1",5,4233,2.0800000000000001
"114-1",5,3434,5.0999999999999996
"115-1",5,32320,1.4299999999999999
"116-1",5,7977,3.5499999999999998
"117-1",5,8877,1.6399999999999999
"118-1",5,19583,3.0299999999999998
"119-1",5,9752,2.6099999999999999
"120-1",5,1784,7.4400000000000004
"121-1",5,17929,3.1899999999999999
"122-1",5,365,6.2199999999999998
